Organization,Workspace,Project,Status,Total Conversations,Digested Conversations,Completion Rate (%),Total Questions,Questions with Probing,Created,Last Updated
Kantar Nederland,Profiles Test,Profiles Panel Test,PUBLISHED,2,2,100.0,0,0,6-6-2025,6-6-2025
Kantar Nederland,Inholland Dip & Dive 2025,Voltijd Bachelor Script (Geslaagden),COMPLETED,25,25,100.0,0,0,25-3-2025,8-5-2025
Kantar Nederland,Inholland Dip & Dive 2025,Voltijd Bachelor Script (HBO Studenten),COMPLETED,34,34,100.0,0,0,25-3-2025,8-5-2025
Kantar Nederland,Inholland Dip & Dive 2025,Deeltijd Bachelor Script (Professionals),COMPLETED,52,52,100.0,0,0,25-3-2025,22-4-2025
Kantar Nederland,Kantar Nederland,NEW OFFICE feedback ,PUBLISHED,34,34,100.0,0,0,27-5-2025,7-6-2025
Kantar Nederland,old workspace,JDE Germany - On Trade Final(1),PUBLISHED,0,0,0.0,0,0,29-4-2024,29-11-2024
Kantar Nederland,old workspace,JDE Germany - Retailers Final(1),READY,0,0,0.0,0,0,19-4-2024,29-11-2024
Kantar Nederland,old workspace,JDE On trade ENG,READY,0,0,0.0,0,0,29-4-2024,29-11-2024
Kantar Nederland,old workspace,JDE On trade  German,READY,0,0,0.0,0,0,29-4-2024,29-11-2024
Kantar Nederland,KPN,KPN Customer Segments Final,COMPLETED,119,119,100.0,0,0,13-5-2024,29-11-2024
Kantar Nederland,KPN,KPN - Gepensioneerden,COMPLETED,25,25,100.0,0,0,13-5-2024,29-11-2024
Kantar Nederland,KPN,KPN - Kansrijke Jongeren,PUBLISHED,18,18,100.0,0,0,13-5-2024,29-11-2024
Kantar Nederland,KPN,KPN - Precariaat,COMPLETED,25,25,100.0,0,0,13-5-2024,29-11-2024
Kantar Nederland,KPN,KPN - Jongeren 16-24 jaar,COMPLETED,25,25,100.0,0,0,13-5-2024,29-11-2024
Kantar Nederland,Friesland Campina MiniMe,Friesland Campina MiniMe USA - Concept 1+6,COMPLETED,27,27,100.0,0,0,26-11-2024,13-12-2024
Kantar Nederland,Friesland Campina MiniMe,Friesland Campina MiniMe USA - Concept 3+5,COMPLETED,27,27,100.0,0,0,26-11-2024,13-12-2024
Kantar Nederland,Friesland Campina MiniMe,Friesland Campina MiniMe USA - Concept 2+4,COMPLETED,27,27,100.0,0,0,26-11-2024,13-12-2024
Kantar Nederland,Open Universiteit,Open Universiteit,COMPLETED,124,124,100.0,0,0,8-4-2025,15-5-2025
