Organization,Workspace,Project,Status,Total Conversations,Digested Conversations,Completion Rate (%),Total Questions,Questions with Probing,Created,Last Updated
Tellet,My workspace,Testing required,PUBLISHED,1,1,100.0,1,1,14-1-2025,20-2-2025
Tellet,Auto Industry,Auto Industry Demo,PUBLISHED,60,60,100.0,3,3,2-4-2024,8-6-2025
Tellet,Auto Industry,Mercedes Benz,PUBLISHED,1,1,100.0,2,2,5-4-2024,17-12-2024
Tellet,Auto Industry,Fiat 500,COMPLETED,8,8,100.0,2,2,5-4-2024,29-11-2024
Tellet,Auto Industry,Maserati,REQUEST_APPROVED,0,0,0.0,2,2,5-4-2024,10-12-2024
Tellet,Auto Industry,Auto Industry Demo (Not Published),READY,0,0,0.0,3,3,2-4-2024,14-3-2025
Tellet,Auto Industry,test for video,READY,0,0,0.0,2,2,16-7-2024,29-11-2024
Tellet,Auto Industry,Feedback Form for Customers ,DRAFT,0,0,0.0,6,6,16-7-2024,29-11-2024
Tellet,Auto Industry,political polling,DRAFT,0,0,0.0,2,2,5-8-2024,29-11-2024
Tellet,Auto Industry,asdf,PUBLISHED,1,1,100.0,1,1,24-9-2024,28-3-2025
Tellet,Auto Industry,Auto Industry Demo(1),PUBLISHED,0,0,0.0,3,3,2-4-2024,6-6-2025
Tellet,Auto Industry,video test,READY,0,0,0.0,1,1,24-10-2024,29-11-2024
Tellet,Auto Industry,test,DRAFT,0,0,0.0,1,1,4-12-2024,4-12-2024
Tellet,Auto Industry,test1,DRAFT,0,0,0.0,1,1,13-12-2024,13-12-2024
Tellet,Auto Industry,Auto Industry Demo (with metadata),COMPLETED,24,24,100.0,3,3,2-4-2024,5-3-2025
Tellet,Marketing Intern,Marketing Intern,PUBLISHED,5,5,100.0,8,8,22-4-2024,8-12-2024
Tellet,Marketing Intern,Business dev - Marketing intern,PUBLISHED,7,7,100.0,8,8,22-4-2024,29-11-2024
Tellet,Website Tellet,Website Tellet,READY,0,0,0.0,3,3,27-5-2024,29-11-2024
Tellet,Website Tellet,GB Website Tellet,PUBLISHED,27,27,100.0,3,3,27-5-2024,29-11-2024
Tellet,Website Tellet,New Demo Tellet for Website,PUBLISHED,51,51,100.0,3,3,27-5-2024,28-2-2025
Tellet,Website Tellet,Innovation / Design Thinking Tellet for Website,PUBLISHED,0,0,0.0,6,6,27-5-2024,29-11-2024
Tellet,Website Tellet,Tellet Onboarding ,PUBLISHED,1,1,100.0,4,4,9-12-2024,9-12-2024
Tellet,Website Tellet,Tellet Onboarding (1),READY,0,0,0.0,4,4,9-12-2024,9-12-2024
Tellet,Website Tellet,You Just Had a Meeting With Greg,READY,0,0,0.0,4,4,9-12-2024,9-12-2024
Tellet,Website Tellet,New Demo Tellet for Website(1),READY,0,0,0.0,3,3,27-5-2024,27-5-2024
Tellet,Website Tellet,New Demo Tellet for Website(2),READY,0,0,0.0,3,3,27-5-2024,27-5-2024
Tellet,Website Tellet,Jobs To Be Done Tellet for Website.,PUBLISHED,24,24,100.0,5,5,13-12-2024,6-6-2025
Tellet,Greg's Demo Workspace,CORNET - OAKED,PUBLISHED,0,0,0.0,3,3,10-4-2024,29-11-2024
Tellet,Greg's Demo Workspace,The Fridge Report,PUBLISHED,0,0,0.0,4,4,23-4-2024,29-11-2024
Tellet,Greg's Demo Workspace,Oliver Agency,DRAFT,0,0,0.0,1,1,24-4-2024,29-11-2024
Tellet,Greg's Demo Workspace,Cornet Toluna,PUBLISHED,9,9,100.0,3,3,10-4-2024,29-11-2024
Tellet,Greg's Demo Workspace,Tellet.ai Demo,READY,0,0,0.0,4,4,4-6-2024,29-11-2024
Tellet,Greg's Demo Workspace,Veloce Sedaris Demo,READY,0,0,0.0,3,3,2-4-2024,29-11-2024
Tellet,Greg's Demo Workspace,IKEA Demo Tellet,PUBLISHED,7,7,100.0,4,4,23-4-2024,6-6-2025
Tellet,Greg's Demo Workspace,Jamie Oliver Frozen Food,PUBLISHED,2,2,100.0,5,5,10-10-2024,29-11-2024
Tellet,Greg's Demo Workspace,IKEA Demo 2025,PUBLISHED,1,1,100.0,4,4,23-4-2024,29-4-2025
Tellet,Greg's Demo Workspace,IKEA Teen Bedroom,READY,0,0,0.0,4,4,23-4-2024,4-2-2025
Tellet,Greg's Demo Workspace,Desperados,DRAFT,0,0,0.0,1,1,17-3-2025,17-3-2025
Tellet,Greg's Demo Workspace,IKEA Demo 2025 (shared with Kantar),PUBLISHED,23,23,100.0,3,3,23-4-2024,6-6-2025
Tellet,Greg's Demo Workspace,IKEA Demo 2025 (shared with Kantar)(1),PUBLISHED,0,0,0.0,3,3,23-4-2024,8-4-2025
Tellet,Royal Swinkels,CORNET,PUBLISHED,3,3,100.0,4,4,8-4-2024,29-11-2024
Tellet,Royal Swinkels,CORNET(1),PUBLISHED,21,21,100.0,4,4,8-4-2024,29-11-2024
Tellet,Royal Swinkels,Royal Swinkels: The Away Day,PUBLISHED,23,23,100.0,5,5,17-4-2024,8-1-2025
Tellet,Royal Swinkels,Demo test,DRAFT,0,0,0.0,2,2,26-4-2024,29-11-2024
Tellet,Royal Swinkels,Employee Pulse Tellet,PUBLISHED,0,0,0.0,4,4,17-4-2024,28-1-2025
Tellet,Marketing Tellets,IIEX Amsterdam,PUBLISHED,2,2,100.0,3,3,28-6-2024,29-11-2024
Tellet,Marketing Tellets,Positioning Interview,PUBLISHED,0,0,0.0,6,6,3-7-2024,29-11-2024
Tellet,Marketing Tellets,Essense,PUBLISHED,12,12,100.0,3,3,14-8-2024,29-11-2024
Tellet,Marketing Tellets,KPMG Insurance Demo,PUBLISHED,0,0,0.0,4,4,23-9-2024,29-11-2024
Tellet,Marketing Tellets,SaaS Onboarding,READY,0,0,0.0,4,4,18-10-2024,29-11-2024
Tellet,Marketing Tellets,Brand Hackers,READY,0,0,0.0,9,9,23-10-2024,29-11-2024
Tellet,Marketing Tellets,Salomon Demo,READY,0,0,0.0,8,8,12-11-2024,13-3-2025
Tellet,Marketing Tellets,Narratory Capital: Tom Morton,PUBLISHED,0,0,0.0,6,6,12-11-2024,9-12-2024
Tellet,Marketing Tellets,Schiphol Demo,PUBLISHED,13,13,100.0,6,6,13-12-2024,18-12-2024
Tellet,Marketing Tellets,Prog G Media,PUBLISHED,0,0,0.0,5,5,13-3-2025,28-3-2025
Tellet,Marketing Tellets,Tellet x Kantar MIE 2025,PUBLISHED,2,2,100.0,4,4,17-3-2025,28-5-2025
Tellet,Marketing Tellets,Ipsos - Stimuli Test,PUBLISHED,5,5,100.0,2,2,29-4-2025,30-4-2025
Tellet,Marketing Tellets,Ipsos - Stimuli Test for Madeleine,PUBLISHED,1,1,100.0,2,2,29-4-2025,30-4-2025
Tellet,Hospitality,Hotel experience,READY,0,0,0.0,7,7,14-8-2024,29-11-2024
Tellet,Hospitality,Hotel personel,READY,0,0,0.0,5,5,14-8-2024,29-11-2024
Tellet,CSRD,CSRD Bank,PUBLISHED,0,0,0.0,6,6,20-8-2024,29-11-2024
Tellet,CSRD,CSRD Demo,READY,0,0,0.0,6,6,20-8-2024,19-12-2024
Tellet,Meal Delivery Services,"Meal Delivery Services (complete, with results)",COMPLETED,100,100,100.0,10,10,2-7-2024,22-5-2025
Tellet,Meal Delivery Services,Meal Delivery Services (editable draft),READY,0,0,0.0,10,10,2-7-2024,6-6-2025
Tellet,Tellet Testing,VVV Cadeaukaarten ,COMPLETED,102,102,100.0,20,20,24-2-2025,5-3-2025
Tellet,Tellet Testing,GPTW 0 meting - Ondersteuning,PUBLISHED,0,0,0.0,9,9,16-1-2025,29-4-2025
Tellet,Tellet Testing,Test,PUBLISHED,0,0,0.0,1,1,6-3-2025,11-4-2025
Tellet,Tellet Testing,PDF TEST,PUBLISHED,1,1,100.0,1,1,7-3-2025,29-4-2025
Tellet,Tellet Testing,59,PUBLISHED,0,0,0.0,1,1,7-3-2025,5-6-2025
Tellet,Tellet Testing,Tellet 5,PUBLISHED,2,2,100.0,2,2,7-3-2025,14-5-2025
Tellet,Tellet Testing,Whiskas,PUBLISHED,3,3,100.0,9,9,1-4-2025,22-4-2025
Tellet,Tellet Testing,Workforce Insights: The Next Generation,PUBLISHED,18,18,100.0,20,20,24-4-2025,12-5-2025
Tellet,Tellet Testing,Prepaid Consumer,PUBLISHED,18,18,100.0,26,26,27-4-2025,5-6-2025
Tellet,Tellet Testing,From Scratch - testing ,PUBLISHED,0,0,0.0,1,1,29-4-2025,5-6-2025
Tellet,Tellet Testing,Anti drugs campagne - april 2025 - non-users,PUBLISHED,33,33,100.0,7,7,28-4-2025,5-6-2025
Tellet,Tellet Testing,Tellet from scratch - 1,PUBLISHED,1,1,100.0,1,1,5-6-2025,5-6-2025
Tellet,UCC Coffee,UCC Coffee,COMPLETED,110,110,100.0,14,14,1-4-2025,17-4-2025
Tellet,GfK,My GfK Tellet,PUBLISHED,11,11,100.0,8,8,1-5-2025,1-5-2025
