Organization,Workspace,Projects,Total Conversations,Digested Conversations,Completion Rate (%),Total Questions,Questions with Probing
Kantar Nederland,My workspace,0,0,0,0.0,0,0
Kantar Nederland,Profiles Test,1,2,2,100.0,0,0
Kantar Nederland,Inholland Dip & Dive 2025,3,111,111,100.0,0,0
Kantar Nederland,Kantar Nederland,1,34,34,100.0,0,0
Kantar Nederland,old workspace,4,0,0,0.0,0,0
Kantar Nederland,KPN,5,212,212,100.0,0,0
Kantar Nederland,Friesland Campina MiniMe,3,81,81,100.0,0,0
Kantar Nederland,Open Universiteit,1,124,124,100.0,0,0
Kantar Nederland,Univé Imago Statements,3,214,214,100.0,0,0
Kantar Nederland,JDE NL,1,103,103,100.0,0,0
Kantar Nederland,Desperados Credentials,19,1794,1794,100.0,0,0
Kantar Nederland,Winston,1,0,0,0.0,0,0
Kantar Nederland,JDE Tassimo,6,311,311,100.0,0,0
Kantar Nederland,VVV Cadeaukaarten ,2,204,204,100.0,0,0
Kantar Nederland,Randstad,6,256,256,100.0,0,0
Kantar Nederland,Centraal Beheer,2,104,104,100.0,0,0
Kantar Nederland,Ikea Pack ,16,341,341,100.0,0,0
Kantar Nederland,IKEA Teens Bedroom,11,200,200,100.0,0,0
Kantar Nederland,Essent TVC,1,51,51,100.0,0,0
Kantar Nederland,Lipton Category Exploration,3,107,107,100.0,0,0
Kantar Nederland,Albert Heijn,1,147,147,100.0,0,0
Kantar Nederland,Chocomel New Market (UK),2,54,54,100.0,0,0
