Organization,Workspace,Projects,Total Conversations,Digested Conversations,Completion Rate (%),Total Questions,Questions with Probing
Tellet,My workspace,1,1,1,100.0,1,1
Tellet,Auto Industry,14,94,94,100.0,32,32
Tellet,Marketing Intern,2,12,12,100.0,16,16
Tellet,Website Tellet,10,103,103,100.0,38,38
Tellet,Greg's Demo Workspace,13,42,42,100.0,42,42
Tellet,Royal Swinkels,5,47,47,100.0,19,19
Tellet,Marketing Tellets,13,35,35,100.0,62,62
Tellet,Hospitality,2,0,0,0.0,12,12
Tellet,CSRD,2,0,0,0.0,12,12
Tellet,Meal Delivery Services,2,100,100,100.0,20,20
Tellet,Tellet Testing,12,178,178,100.0,98,98
Tellet,UCC Coffee,1,110,110,100.0,14,14
Tellet,GfK,1,11,11,100.0,8,8
